source_en,reference_fr,similarity,topic
Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,0.897,Depression / Depression
It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,0.753,Depression / Depression
Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,0.802,Depression / Depression
"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.",0.79,Depression / Depression
It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,0.814,Depression / Depression
Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,0.811,Depression / Depression
"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,0.799,Depression / Depression
Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,0.822,Depression / Depression
"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.",0.947,Depression / Depression
Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",0.916,Depression / Depression
Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.",0.923,Depression / Depression
"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .",0.91,Depression / Depression
"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,0.901,Depression / Depression
Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,0.93,Depression / Depression
"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .",0.897,Depression / Depression
"Barriers to effective care include a lack of investment in mental health care, lack of trained health-care providers and social stigma associated with mental disorders.","Le manque de ressources, le manque d’investissements en faveur des soins de santé mentale, le manque de soignants formés et la stigmatisation sociale associée aux troubles mentaux sont autant d’obstacles à une prise en charge efficace.",0.821,Depression / Depression
"During a depressive episode, a person experiences a depressed mood (feeling sad, irritable, empty).","L’épisode dépressif se caractérise par la présence d’une humeur dépressive (sentiment de tristesse et de vide, irritabilité), qui s’accompagne parfois d’une perte de la capacité à éprouver du plaisir ou de l’intérêt.",0.72,Depression / Depression
A depressive episode is different from regular mood fluctuations.,Il faut distinguer l’épisode dépressif des fluctuations ordinaires de l’humeur.,0.818,Depression / Depression
"Other symptoms are also present, which may include: Depression can cause difficulties in all aspects of life, including in the community and at home, work and school.","D’autres symptômes sont également présents, notamment : La dépression peut entraîner des difficultés dans tous les domaines de la vie, auprès de l’entourage, au sein de la famille et dans le cadre professionnel ou scolaire.",0.87,Depression / Depression
"A depressive episode can be categorized as mild, moderate, or severe depending on the number and severity of symptoms, as well as the impact on the individual’s functioning.","Un épisode dépressif peut être classé comme léger, modéré ou sévère en fonction du nombre et de la gravité des symptômes, ainsi que de leur impact sur le fonctionnement de la personne concernée.",0.916,Depression / Depression
"There are different patterns of depressive episodes including: Depression results from a complex interaction of social, psychological, and biological factors.","Il existe différents types de trouble dépressif : La dépression résulte d’une interaction complexe de facteurs sociaux, psychologiques et biologiques.",0.856,Depression / Depression
