model,temperature,source_en,reference_fr,hypothesis,BLEU,ROUGE-1,ROUGE-L
HF opus-mt,n/a,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Le trouble dépressif (également connu sous le nom de dépression) est un trouble mental courant.,71.27994860722308,86.48648648648648,86.48648648648648
Ollama llama3.2,0.0,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Trouble dépressif (également connu sous le nom de dépression) est une maladie mentale courante.,53.33124347036652,77.77777777777777,77.77777777777777
Ollama llama3.2,0.2,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Trouble dépressif (également connu sous le nom de dépression) est une maladie mentale courante.,53.33124347036652,77.77777777777777,77.77777777777777
Ollama llama3.2,0.5,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Le trouble de l'humeur dépressive (ou dépression) est un troubles mentaux courants.,15.514304943828108,51.42857142857144,45.714285714285715
Ollama llama3.2,0.8,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Trouble dépressif (ou dépression) est un trouble de santé mentale fréquent.,19.628122566385418,58.823529411764696,58.823529411764696
Ollama llama3.2,1.0,Depressive disorder (also known as depression) is a common mental disorder.,Le trouble dépressif (également connu sous le nom de dépression) est un problème de santé mentale courant.,Le trouble dépressif (également connu sous le nom de dépression) est une maladie mentale fréquente.,64.4804690631214,73.68421052631578,73.68421052631578
HF opus-mt,n/a,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Il s'agit d'une humeur dépressive ou d'une perte de plaisir ou d'un intérêt pour les activités pendant de longues périodes.,8.763183317285744,57.6271186440678,54.23728813559322
Ollama llama3.2,0.0,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Il implique un état de tristesse ou une perte de plaisir ou d'intérêt pour les activités pendant des périodes prolongées.,4.452860421595077,42.857142857142854,35.71428571428571
Ollama llama3.2,0.2,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Il implique un état de tristesse ou une perte de plaisir ou d'intérêt pour les activités pendant des périodes prolongées.,4.452860421595077,42.857142857142854,35.71428571428571
Ollama llama3.2,0.5,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Cela implique un état de dépression ou une perte de plaisir ou d'intérêt pour les activités pendant de longues périodes.,4.306665043929905,42.857142857142854,35.71428571428571
Ollama llama3.2,0.8,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Il s'agit d'une état de tristesse ou de perte de plaisir ou d'intérêt pour les activités pendant des périodes prolongées.,5.295373295474883,44.827586206896555,37.93103448275862
Ollama llama3.2,1.0,It involves a depressed mood or loss of pleasure or interest in activities for long periods of time.,Il se caractérise par la présence d’une humeur dépressive ou d’une perte durable de la capacité à éprouver du plaisir ou de l’intérêt.,Cela implique un état de tristesse ou une perte d'intérêt pour les activités pendant des périodes prolongées.,2.176316275810588,30.188679245283023,22.641509433962266
HF opus-mt,n/a,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression est différente des changements d'humeur et des sentiments réguliers au sujet de la vie quotidienne.,21.047837785657148,63.41463414634146,63.41463414634146
Ollama llama3.2,0.0,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression est différente des changements de humeur réguliers et des sentiments liés à la vie quotidienne.,21.047837785657148,60.0,60.0
Ollama llama3.2,0.2,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression est différente des changements de humeur réguliers et des sentiments liés à la vie quotidienne.,21.047837785657148,60.0,60.0
Ollama llama3.2,0.5,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression est différente des changements de humeur ordinaires et des sentiments liés à la vie quotidienne.,28.627573592435688,66.66666666666667,66.66666666666667
Ollama llama3.2,0.8,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression diffère des changements de humeur ordinaires et des sentiments liés à la vie quotidienne.,28.648682864686602,68.42105263157895,68.42105263157895
Ollama llama3.2,1.0,Depression is different from regular mood changes and feelings about everyday life.,Il faut distinguer la dépression des changements d’humeur ordinaires et des sentiments que peut inspirer la vie quotidienne.,La dépression diffère des changements de humeur ordinaires et des sentiments liés à la vie quotidienne.,28.648682864686602,68.42105263157895,68.42105263157895
HF opus-mt,n/a,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Elle peut affecter tous les aspects de la vie, y compris les relations avec la famille, les amis et la communauté.",56.18340452933696,70.58823529411764,66.66666666666666
Ollama llama3.2,0.0,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Il peut affecter tous les aspects de la vie, y compris les relations avec la famille, les amis et la communauté.",56.18340452933696,70.58823529411764,66.66666666666666
Ollama llama3.2,0.2,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Il peut affecter tous les aspects de la vie, y compris les relations avec la famille, les amis et la communauté.",56.18340452933696,70.58823529411764,66.66666666666666
Ollama llama3.2,0.5,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Il peut affecter tous les aspects de la vie, y compris les relations familiales, les amitiés et la communauté.",34.95595795316581,56.00000000000001,51.99999999999999
Ollama llama3.2,0.8,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Il peut toucher tous les aspects de la vie, y compris les relations avec la famille, les amis et la communauté.",56.18340452933696,70.58823529411764,66.66666666666666
Ollama llama3.2,1.0,"It can affect all aspects of life, including relationships with family, friends and community.","La dépression peut avoir une incidence sur tous les aspects de la vie, y compris les relations avec la famille, les amis et, plus généralement, l’entourage.","Il peut toucher tous les aspects de la vie, notamment les relations avec la famille, les amis et la communauté.",43.37470605715258,64.0,60.0
HF opus-mt,n/a,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Il peut résulter ou conduire à des problèmes à l'école et au travail.,4.016138436407654,34.48275862068965,27.58620689655172
Ollama llama3.2,0.0,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Il peut résulter de ou conduire à des problèmes à l'école et au travail.,3.9297193407553013,40.00000000000001,26.666666666666668
Ollama llama3.2,0.2,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Il peut résulter de ou conduire à des problèmes à l'école et au travail.,3.9297193407553013,40.00000000000001,26.666666666666668
Ollama llama3.2,0.5,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Cela peut provenir de ou conduire à des problèmes à l'école et au travail.,3.9297193407553013,41.379310344827594,27.58620689655172
